x,kind,top_mean,bottom_mean,last_confirmed_up_x,last_confirmed_down_x
4680,54.35,63.11333333333334,52.14,4670.0,4674.0
4681,45.65,63.11333333333334,52.14,4670.0,4674.0
4682,40.43,63.11333333333334,52.14,4670.0,4674.0
4683,42.55,63.11333333333334,52.14,4670.0,4674.0
4684,40.0,63.11333333333334,52.14,4670.0,4674.0
4685,32.5,63.11333333333334,52.14,4670.0,4674.0
4686,38.24,63.11333333333334,52.14,4670.0,4674.0
4687,31.25,63.11333333333334,52.14,4670.0,4674.0
4688,42.42,63.11333333333334,52.14,4670.0,4684.0
4689,37.14,63.11333333333334,49.712,4670.0,4684.0
4690,28.13,63.11333333333334,49.712,4670.0,4684.0
4691,24.24,63.11333333333334,49.712,4670.0,4684.0
4692,25.0,63.11333333333334,49.712,4670.0,4684.0
4693,19.44,63.11333333333334,49.712,4670.0,4684.0
4694,18.92,63.11333333333334,49.712,4670.0,4684.0
4695,24.24,63.11333333333334,49.712,4670.0,4684.0
4696,32.26,63.11333333333334,49.712,4670.0,4684.0
4697,33.33,63.11333333333334,49.712,4670.0,4684.0
4704,32.26,67.945,54.592499999999994,4670.0,4684.0
4705,32.26,67.945,54.592499999999994,4670.0,4684.0
4706,38.71,67.945,54.592499999999994,4670.0,4684.0
4707,37.5,67.945,54.592499999999994,4670.0,4684.0
4708,50.0,67.945,54.592499999999994,4670.0,4684.0
4709,57.69,67.945,54.592499999999994,4670.0,4684.0
4714,61.76,72.73,55.21333333333333,4670.0,4684.0
4715,31.34,72.73,55.21333333333333,4670.0,4684.0
4716,26.58,72.73,49.785,4670.0,4684.0
4717,23.33,72.73,49.785,4670.0,4684.0
4718,31.0,72.73,49.785,4714.0,4684.0
4719,34.95,67.245,49.785,4714.0,4684.0
4720,34.95,67.245,49.785,4714.0,4684.0
4721,34.31,61.76,49.785,4714.0,4717.0
4722,36.89,61.76,40.96666666666666,4714.0,4717.0
4723,32.41,61.76,40.96666666666666,4714.0,4717.0
4724,33.33,61.76,40.96666666666666,4714.0,4717.0
4725,29.2,61.76,31.665,4714.0,4717.0
4726,29.82,61.76,31.665,4714.0,4717.0
4727,35.34,61.76,31.665,4714.0,4717.0
4728,32.46,61.76,31.665,4714.0,4717.0
4729,30.0,61.76,31.665,4714.0,4717.0
4730,40.24,61.76,31.665,4714.0,4717.0
4731,53.85,61.76,31.665,4714.0,4717.0
4732,67.57,61.76,31.665,4714.0,4717.0
4733,59.09,61.76,31.665,4714.0,4717.0
4734,50.0,61.76,31.665,4714.0,4717.0
4735,51.47,61.76,23.33,4714.0,4717.0
4736,48.57,61.76,23.33,4714.0,4717.0
4737,42.47,61.76,23.33,4714.0,4717.0
4738,44.29,61.76,23.33,4714.0,4717.0
4739,51.25,61.76,23.33,4714.0,4717.0
4740,58.11,61.76,23.33,4714.0,4717.0
4741,60.26,61.76,23.33,4714.0,4717.0
4742,55.56,61.76,23.33,4714.0,4738.0
4743,56.34,61.76,33.81,4714.0,4738.0
4744,52.11,61.76,33.81,4714.0,4738.0
4745,55.22,61.76,33.81,4714.0,4738.0
4746,49.15,61.76,33.81,4714.0,4738.0
4747,42.31,61.76,33.81,4714.0,4738.0
4748,48.08,61.76,33.81,4714.0,4744.0
4749,65.52,61.76,39.910000000000004,4714.0,4744.0
